,F1,F2,F3,F4,F5,F6,F7
APEH,0.059369150135122555,-0.5161708454588348,-0.552376847964223,-0.15793731883079154,-0.07002302470812907,0.2824845934858657,0.16946025535560244
API5,0.30479941103623687,-1.0158168333997881,-0.519265201648782,0.0031338431706118743,0.3461626106671502,-0.55733183611591,0.13513281692961354
APIP,0.2960285994245493,-0.5554556054149549,-0.43306598576646776,-0.05028277316519714,0.10679330231605207,-0.03871137033290365,-0.15959468806769772
APLF,0.24307809280577203,-0.8213608470997734,-0.12268713454735164,0.10318214092925568,0.4545300640211461,-0.5237550060266986,-0.11457053101605795
APOE,0.5109335266354663,-0.37068176690763177,-0.024980444125873188,0.6176520290210412,-0.007901200238180618,-0.1865365543281976,0.18629850183874377
APOO,0.2966815784212663,-0.28467930294989363,0.04044147445484196,0.06589706927640135,-0.1895690412038167,1.0347883932185118,-0.02947484753004347
APP,0.27242368407791073,-0.7604936929793812,-1.098057227135783,-0.02442253860267413,0.025605065970200996,-0.7868004572404045,0.03629693569131513
APPBP2,0.2383397991858175,-0.760103957707329,0.04484964342897753,0.3341854510930987,-0.27552705918536313,-0.8299432401900939,0.11502135122649933
APPL2,0.2219445655176088,-0.8606547731107759,-0.1207622199319716,-0.30517354476506786,-0.2437112642768025,0.23784619532603327,0.09672711886941425
APRT,0.18957205461787185,-0.5186832060262392,-0.25559645081926213,-0.5098864556425231,-0.38596407687270046,0.5523000588364582,0.056790204331876926
AQP11,0.012235720366751605,-0.29861699579033824,-0.23788121813236,-0.17535662424011386,0.029359546151557427,0.45604765326229824,-0.07778406966790954
ARAF,0.1772396225281685,-0.8363503813081066,-0.5632810177127408,-0.06462070520773683,0.13557045969932607,-0.6195428184463939,0.08288332371358946
ARCN1,0.36602414584615356,-0.8951067407155359,-0.40983807590266574,0.6281269370579449,-0.3292912166777153,-0.3802368194557121,1.237643792332626e-05
ARFGAP2,0.1625283485045274,-0.818459030595738,-0.28526671059718517,-0.09862806076401825,0.08616579404081051,1.24511557061318,0.32419918231106465
ARFGAP3,0.285777160876081,-0.7744051158298118,-0.9426049838761513,0.04780979329795423,0.03176421140515611,-0.5791588152218166,-0.024264022295850767
ARFGEF1,0.23264101350106764,-0.4789223433149951,0.09692823364120735,0.14592399755693364,-0.0227644984313884,-0.6727121578137151,-0.2524863223665245
ARFIP1,0.39420019943534923,-0.656746932781994,-0.11331825675272697,-0.282416830574848,0.41497990502564686,0.07141513308868833,0.06619287895541771
ARG2,0.08514535891706608,-0.5078844892046674,-0.2816504093856156,-0.13346314450897068,0.1524340282430111,0.8494063844505202,-0.026992664277144092
ARHGAP1,0.5587889864503627,-0.46110610729298435,0.08383472014419105,0.3024429736240492,-0.1811364015282917,-0.2783730185240041,0.1383137586928578
ARHGAP10,0.391153851625493,-0.3625292817759291,0.27346778525102444,0.06774513396842091,0.3538895602631808,-0.4304174337914977,0.04823437324698691
ARHGAP11A,0.11269612897351307,-0.8029945940239387,0.33919867258435005,-0.033226304697150315,0.4008421471230831,0.28269812484357154,0.22739364751924968
ARHGAP12,0.1481835804242532,-0.7654937592981987,0.3341259538132182,0.16583697472351033,-0.2123153455521065,0.3221461575143381,-0.08731787131319814
ARHGAP18,0.5318582214938073,-0.4585620164331698,0.5295024700482616,-0.01673119471304989,-0.4195792281849004,-0.9224221770033326,0.013945327304141846
ARHGAP21,0.2752531764880834,-0.8821917803919987,-0.3067719385499992,0.3287321674948524,-0.2655938833474318,-0.5665372446912205,-0.22537325954808396
ARHGAP29,0.26050943254735215,-0.8192630940406898,0.3736024588866412,-0.4039076990331923,-0.1519294885273243,-0.3418123221626933,0.05272935357118764
ARHGAP35,0.38120406590207173,-0.4933221961004468,0.2166499058901251,-0.005259660728059122,-0.5290602907578429,0.6576370739869928,0.11007017253039784
ARHGAP42,0.3618085588984483,-0.6122641387572875,0.3465409241920086,-0.5723305336672719,0.04246372818293117,-0.6359526060215849,0.06519177521740598
ARHGEF26,0.2035571572327255,-0.6630075557430261,0.6405616842074483,-0.3893324886808148,-0.20080732692945957,0.3108921445631253,0.12943579570915148
ARID1A,0.5196282912408171,-0.5189769862863473,0.3311579143484333,-0.4640634943221729,0.04947572730068803,0.1296180016237126,0.20726060248213213
ARID4A,0.43197583334909173,-0.6514304359801312,0.3456260315912009,0.025443907707725255,-0.11058307478895604,-0.4827146429142217,0.04107019117143158
ARIH2,0.27914344547749415,-0.7276386351148257,-0.40235092292148805,0.10311426945925428,0.2110505222423882,-0.16903472531224123,0.0919063400543707
ARL15,0.19374722972420783,-0.6405637675300159,0.959482328895672,0.45597411017219497,-0.261962700267683,0.15904854168714158,0.11669933059863978
ARL2BP,0.116311923096776,-0.7315245287975487,-0.09100177717426243,-0.1853371829028577,0.10378116795888065,-0.5208996502284041,-0.1489837253161807
