gene_id,gene_name,mean_promoter_ncpg,samples_with_data
ENSSSCG00000000860,NUP37,53.47727272727273,44
ENSSSCG00000000862,GNPTAB,48.27272727272727,44
ENSSSCG00000000863,SYCP3,23.477272727272727,41
ENSSSCG00000000864,CHPT1,186.04545454545453,44
ENSSSCG00000000866,MYBPC1,42.25,44
ENSSSCG00000000867,SPIC,7.340909090909091,32
ENSSSCG00000000869,UTP20,63.79545454545455,44
ENSSSCG00000000870,ARL1,76.06818181818181,44
ENSSSCG00000000871,SLC5A8,29.954545454545453,44
ENSSSCG00000000873,ANO4,241.0909090909091,44
ENSSSCG00000000874,GAS2L3,93.0909090909091,44
ENSSSCG00000000875,NR1H4,52.63636363636363,44
ENSSSCG00000000883,ENSSSCG00000000883,11.454545454545455,39
ENSSSCG00000000886,SLC25A3,136.22727272727272,44
ENSSSCG00000000887,ENSSSCG00000000887,104.5,44
ENSSSCG00000000890,NEDD1,143.1590909090909,44
ENSSSCG00000000891,LTA4H,37.06818181818182,44
ENSSSCG00000000892,HAL,48.47727272727273,43
ENSSSCG00000000893,AMDHD1,9.204545454545455,41
ENSSSCG00000000894,CCDC38,112.72727272727273,44
ENSSSCG00000000895,SNRPF,91.77272727272727,44
ENSSSCG00000000896,NTN4,72.88636363636364,44
ENSSSCG00000000901,FGD6,87.61363636363636,44
ENSSSCG00000000902,NR2C1,17.568181818181817,42
ENSSSCG00000000905,ENSSSCG00000000905,34.5,42
ENSSSCG00000000906,TMCC3,70.52272727272727,44
ENSSSCG00000000907,PLXNC1,440.90909090909093,44
ENSSSCG00000000908,ENSSSCG00000000908,12.522727272727273,42
ENSSSCG00000000910,CRADD,96.38636363636364,44
ENSSSCG00000000915,DCN,7.295454545454546,38
ENSSSCG00000000916,LUM,1.2272727272727273,31
ENSSSCG00000000917,KERA,4.25,33
ENSSSCG00000000918,EPYC,16.5,38
ENSSSCG00000000920,POC1B,5.340909090909091,35
ENSSSCG00000000924,C12orf50,21.022727272727273,44
ENSSSCG00000000925,RLIG1,108.20454545454545,44
ENSSSCG00000000926,CEP290,118.70454545454545,44
ENSSSCG00000000927,TMTC3,0.7045454545454546,28
ENSSSCG00000000932,NTS,16.477272727272727,44
ENSSSCG00000000934,LRRIQ1,0.7727272727272727,32
ENSSSCG00000000936,SLC6A15,53.61363636363637,44
ENSSSCG00000000937,MYF5,170.75,44
ENSSSCG00000000939,ACSS3,227.77272727272728,44
ENSSSCG00000000940,PPFIA2,33.52272727272727,43
ENSSSCG00000000941,METTL25,94.93181818181819,44
ENSSSCG00000000943,OTOGL,42.34090909090909,44
ENSSSCG00000000948,SYT1,5.136363636363637,37
ENSSSCG00000000950,E2F7,213.54545454545453,44
ENSSSCG00000000951,CSRP2,59.52272727272727,44
ENSSSCG00000000952,ZDHHC17,263.8181818181818,44
ENSSSCG00000000955,TBC1D22A,2.0454545454545454,30
ENSSSCG00000000958,DYRK2,77.95454545454545,44
ENSSSCG00000000959,LARGE1,382.1136363636364,44
ENSSSCG00000000960,ENSSSCG00000000960,13.454545454545455,40
ENSSSCG00000000963,SYCE3,41.93181818181818,42
ENSSSCG00000000964,LMF2,1.0,31
ENSSSCG00000000965,NCAPH2,68.20454545454545,44
ENSSSCG00000000967,CIMAP1B,35.90909090909091,44
ENSSSCG00000000968,SBF1,161.77272727272728,44
ENSSSCG00000000970,PPP6R2,353.59090909090907,44
ENSSSCG00000000971,HDAC10,184.9090909090909,44
ENSSSCG00000000972,TUBGCP6,101.77272727272727,44
ENSSSCG00000000973,SELENOO,345.54545454545456,44
