gene,mean_abs_shap
EPAS1,0.0
EP300,0.0
ENTPD5,0.0
ENC1,0.0
EML5,0.0
EML4,0.0
EMG1,0.0
EME1,0.0
EMC7,0.0
EMC3,0.0
EMC2,0.0
ELP6,0.0
ELP2,0.0
ELOA,0.0
ELL2,0.0
ERP29,0.0
ERLEC1,0.0
ERGIC2,0.0
ERCC8,0.0
ERCC6L,0.0
ERC2,0.0
ERC1,0.0
ERBIN,0.0
ERBB2,0.0
ERAL1,0.0
EPS15L1,0.0
EPS15,0.0
EPHX2,0.0
EPHX1,0.0
EPC1,0.0
EPB41L4A,0.0
EXOC5,0.0
EXO5,0.0
EXO1,0.0
EWSR1,0.0
ETV1,0.0
ETNPPL,0.0
ETFA,0.0
ETF1,0.0
ETAA1,0.0
ESYT1,0.0
ESRRG,0.0
ESRRA,0.0
ESRP1,0.0
ESPL1,0.0
ESCO2,0.0
ESCO1,0.0
FAM114A1,0.0
FAF2,0.0
FADS1,0.0
FABP5,0.0
F3,0.0
F2RL1,0.0
F11R,0.0
EZH2,0.0
EYA3,0.0
EXTL3,0.0
EXT1,0.0
EXOSC7,0.0
EXOSC4,0.0
EXOSC2,0.0
EXOSC10,0.0
EXOC7,0.0
FAM83D,0.0
FAM76A,0.0
FAM3C,0.0
FAM219B,0.0
FAM216A,0.0
FAM171B,0.0
FAM169A,0.0
FAM161A,0.0
FAM151B,0.0
FAM13C,0.0
FAM135A,0.0
FAM120B,0.0
FAM120A,0.0
FAM118B,0.0
FAM117B,0.0
FAM114A2,0.0
FBLIM1,0.0
FAT1,0.0
FASTKD3,0.0
FASTKD2,0.0
FASTKD1,0.0
FASN,0.0
FARSA,0.0
FARP1,0.0
FAR2,0.0
FAR1,0.0
FANCM,0.0
FANCL,0.0
FANCD2,0.0
FANCB,0.0
FAN1,0.0
FAM91A1,0.0
FCGRT,0.0
FBXO9,0.0
FBXO8,0.0
FBXO7,0.0
FBXO5,0.0
FBXO42,0.0
FBXO4,0.0
FBXO34,0.0
FBXO30,0.0
FBXO3,0.0
FBXO21,0.0
FBXO15,0.0
FBXL5,0.0
FBXL20,0.0
FBLN2,0.0
FBLN1,0.0
FIBP,0.0
FHL1,0.0
FGFR1OP2,0.0
FGF19,0.0
FFAR4,0.0
FEZ2,0.0
FETUB,0.0
FES,0.0
FERMT3,0.0
FERMT2,0.0
FEM1C,0.0
FECH,0.0
FDXR,0.0
FDPS,0.0
FDFT1,0.0
FCHO2,0.0
FNDC3B,0.0
FNDC3A,0.0
FNBP1L,0.0
FN1,0.0
FMR1,0.0
FMNL2,0.0
FLOT1,0.0
FLNC,0.0
FLNB,0.0
FKBP9,0.0
FKBP7,0.0
FKBP6,0.0
FKBP5,0.0
FKBP4,0.0
FKBP15,0.0
FKBP10,0.0
ALG3,0.0
ALG2,0.0
ALG13,0.0
ALDOC,0.0
FRS2,0.0
FRMD6,0.0
FRMD4B,0.0
FRA10AC1,0.0
FOXR1,0.0
FOXP1,0.0
FOXO1,0.0
FOXN3,0.0
FOXN2,0.0
FOS,0.0
FOLH1B,0.0
FNIP1,0.0
FXR2,0.0
FUNDC1,0.0
FUCA1,0.0
FTL,0.0
FSCN1,0.0
FRYL,0.0
ANKRD12,0.0
ANKMY2,0.0
ANKFY1,0.0
ANAPC7,0.0
ANAPC5,0.0
ANAPC1,0.0
AMZ2,0.0
AMOT,0.0
ALG8,0.0
ALG6,0.0
GALNT3,0.0
GALNT11,0.0
GALM,0.0
GALK2,0.0
GALE,0.0
GALC,0.0
GADD45B,0.0
GABARAPL2,0.0
GAB1,0.0
G3BP2,0.0
G2E3,0.0
FZR1,0.0
FZD3,0.0
FYTTD1,0.0
GCLC,0.0
GCK,0.0
GCA,0.0
GBF1,0.0
GBE1,0.0
GBA2,0.0
GATAD2B,0.0
GATA6,0.0
GATA4,0.0
GATA3,0.0
GART,0.0
GAPVD1,0.0
GANAB,0.0
GAMT,0.0
GALT,0.0
GALNT7,0.0
GJB1,0.0
GJA1,0.0
GIN1,0.0
GHITM,0.0
GGNBP2,0.0
GFPT1,0.0
