,condition,stage,ref_stage,cell,displacement
139,in_vivo,E4,E4,E4_27,6.042666846652074
140,in_vivo,E4,E4,E4_28,5.687165230757116
141,in_vivo,E4,E4,E4_29,5.369799260566737
142,in_vivo,E5,E5,E5_0,6.612153870949051
143,in_vivo,E5,E5,E5_1,6.9108643998334784
144,in_vivo,E5,E5,E5_2,8.007574053245824
145,in_vivo,E5,E5,E5_3,6.4995212568178715
146,in_vivo,E5,E5,E5_4,7.182065552403836
147,in_vivo,E5,E5,E5_5,6.880201379512596
148,in_vivo,E5,E5,E5_6,6.617881474237254
149,in_vivo,E5,E5,E5_7,8.000144144167264
150,in_vivo,E5,E5,E5_8,6.744865828882978
151,in_vivo,E5,E5,E5_9,6.521471485611998
152,in_vivo,E5,E5,E5_10,6.323384979979652
153,in_vivo,E5,E5,E5_11,7.147932006472426
154,in_vivo,E5,E5,E5_12,7.572748553486539
155,in_vivo,E5,E5,E5_13,6.753231781752196
156,in_vivo,E5,E5,E5_14,7.654592998485001
157,in_vivo,E5,E5,E5_15,6.808772324481627
158,in_vivo,E5,E5,E5_16,7.5386121462627145
159,in_vivo,E5,E5,E5_17,7.201336503155403
160,in_vivo,E5,E5,E5_18,7.124981601624148
161,in_vivo,E5,E5,E5_19,7.094793504410339
162,in_vivo,E5,E5,E5_20,6.849988163873281
163,in_vivo,E5,E5,E5_21,6.586019434875752
164,in_vivo,E5,E5,E5_22,7.046903135467865
165,in_vivo,E5,E5,E5_23,8.111208347888956
166,in_vivo,E5,E5,E5_24,7.970227453171671
167,in_vivo,E5,E5,E5_25,7.312540651339367
168,in_vivo,E5,E5,E5_26,7.228633271297704
169,in_vivo,E5,E5,E5_27,7.643881153726328
170,in_vivo,E5,E5,E5_28,9.237026448556644
171,in_vivo,E5,E5,E5_29,6.958355198235265
172,in_vivo,E5,E5,E5_30,6.814223867898624
173,in_vivo,E5,E5,E5_31,6.123761364983638
174,in_vivo,E5,E5,E5_32,6.197590480031507
175,in_vivo,E5,E5,E5_33,6.156876182324827
176,in_vivo,E5,E5,E5_34,8.164307937971287
177,in_vivo,E5,E5,E5_35,6.793842289832111
178,in_vivo,E5,E5,E5_36,5.371631901858987
179,in_vivo,E5,E5,E5_37,6.294898285712895
180,in_vivo,E5,E5,E5_38,6.280597620624553
181,in_vivo,E5,E5,E5_39,5.748398502426766
182,in_vivo,E5,E5,E5_40,5.728812851002935
183,in_vivo,E5,E5,E5_41,5.380145571251601
184,in_vivo,E5,E5,E5_42,6.494786168010272
185,in_vivo,E5,E5,E5_43,5.231187941738843
186,in_vivo,E5,E5,E5_44,5.464090812552859
187,in_vivo,E5,E5,E5_45,5.886410254755038
188,in_vivo,E5,E5,E5_46,5.156367734805048
189,in_vivo,E5,E5,E5_47,5.314052819816981
190,in_vivo,E5,E5,E5_48,5.446548418963984
191,in_vivo,E5,E5,E5_49,5.605780088481251
192,in_vivo,E5,E5,E5_50,5.641661031815976
193,in_vivo,E5,E5,E5_51,5.483168935701846
194,in_vivo,E5,E5,E5_52,6.260939211267979
195,in_vivo,E5,E5,E5_53,8.697606612571967
196,in_vivo,E5,E5,E5_54,7.142880626991235
197,in_vivo,E5,E5,E5_55,6.13101815404888
198,in_vivo,E5,E5,E5_56,6.679736517846152
199,in_vivo,E5,E5,E5_57,5.538499403977292
200,in_vivo,E5,E5,E5_58,7.387338087408947
201,in_vivo,E5,E5,E5_59,6.029065313662951
202,in_vivo,E5,E5,E5_60,6.742906232050618
203,in_vivo,E5,E5,E5_61,7.905749168429444
204,in_vivo,E5,E5,E5_62,6.054156699231092
205,in_vivo,E5,E5,E5_63,6.925739526995001
206,in_vivo,E5,E5,E5_64,6.206378954380235
207,in_vivo,E5,E5,E5_65,7.717846283972535
208,in_vivo,E5,E5,E5_66,6.8043358827784575
209,in_vivo,E5,E5,E5_67,7.022715966862074
210,in_vivo,E5,E5,E5_68,6.0076364425015925
211,in_vivo,E5,E5,E5_69,6.002826425181881
212,in_vivo,E5,E5,E5_70,6.312520743114095
213,in_vivo,E5,E5,E5_71,6.860386718951318
214,in_vivo,E5,E5,E5_72,5.697038519712992
215,in_vivo,E5,E5,E5_73,6.557646808448786
216,in_vivo,E5,E5,E5_74,6.08462131359212
217,in_vivo,E5,E5,E5_75,6.221683773025828
218,in_vivo,E5,E5,E5_76,5.710419617077805
219,in_vivo,E5,E5,E5_77,6.156546231395525
220,in_vivo,E5,E5,E5_78,5.844051337597533
221,in_vivo,E5,E5,E5_79,7.94628106071692
222,in_vivo,E5,E5,E5_80,6.886636232087436
223,in_vivo,E5,E5,E5_81,5.917554747771794
224,in_vivo,E5,E5,E5_82,6.07377903878032
225,in_vivo,E5,E5,E5_83,5.450242854245194
226,in_vivo,E5,E5,E5_84,6.975152349214718
227,in_vivo,E5,E5,E5_85,5.834598240491139
228,in_vivo,E5,E5,E5_86,5.6851534456224835
229,in_vivo,E5,E5,E5_87,6.170667518157343
230,in_vivo,E5,E5,E5_88,6.660114111469182
231,in_vivo,E5,E5,E5_89,5.781459750084297
232,in_vivo,E5,E5,E5_90,5.94153236255692
233,IVF,1C,E2,IVF 1-cell-1,15.163627501628577
234,IVF,1C,E2,IVF 1-cell-2,13.163352131206365
235,IVF,1C,E2,IVF 1-cell-3,13.184320228076604
236,IVF,2C,E3,IVF 2-cell-1-1,10.47521406717302
237,IVF,2C,E3,IVF 2-cell-1-2,8.21376893659126
238,IVF,2C,E3,IVF 2-cell-2-1,10.233860107624292
239,IVF,2C,E3,IVF 2-cell-2-2,9.932315502705103
240,IVF,2C,E3,IVF 2-cell-3-1,8.033478081071502
241,IVF,2C,E3,IVF 2-cell-3-2,8.07552239939781
242,IVF,4C,E4,IVF 4-cell-1-1,8.299426648065038
243,IVF,4C,E4,IVF 4-cell-1-2,8.717478150652104
244,IVF,4C,E4,IVF 4-cell-1-4,8.410090087391804
245,IVF,4C,E4,IVF 4-cell-2-2,10.794239208084198
246,IVF,4C,E4,IVF 4-cell-2-3,11.244193207036258
247,IVF,4C,E4,IVF 4-cell-3-1,11.822494899162844
248,IVF,4C,E4,IVF 4-cell-3-2,10.741211725144922
249,IVF,4C,E4,IVF 4-cell-3-3,8.286639808660338
250,IVF,4C,E4,IVF 4-cell-3-4,11.304370009817541
251,IVF,8C,E5,IVF 8-cell-1-1,9.938599541919881
252,IVF,8C,E5,IVF 8-cell-1-2,8.787087105761575
253,IVF,8C,E5,IVF 8-cell-1-3,10.162647515287395
254,PA,1C,E2,PA 1-cell-1,13.378587327596291
255,PA,1C,E2,PA 1-cell-2,13.685117656970506
256,PA,1C,E2,PA 1-cell-3,12.788746747897703
257,PA,2C,E3,PA 2-cell-1-1,10.239740290744363
258,PA,2C,E3,PA 2-cell-1-2,10.365370375917252
259,PA,2C,E3,PA 2-cell-2-1,10.498391686455994
260,PA,2C,E3,PA 2-cell-2-2,10.320631313240984
261,PA,2C,E3,PA 2-cell-3-1,10.083239661004471
262,PA,2C,E3,PA 2-cell-3-2,10.039767323406725
263,PA,4C,E4,PA 4-cell-1-3,10.249564391359046
264,PA,4C,E4,PA 4-cell-1-4,8.62738227075741
265,PA,4C,E4,PA 4-cell-2-1,8.313567797588965
266,PA,4C,E4,PA 4-cell-2-2,9.76631191925422
267,PA,4C,E4,PA 4-cell-2-3,9.211654767294583
268,PA,4C,E4,PA 4-cell-2-4,9.590550199112343
269,PA,4C,E4,PA 4-cell-3-1,9.516556054608815
270,PA,4C,E4,PA 4-cell-3-4,9.965288953353179
271,PA,8C,E5,PA 8-cell-1-1,8.863351334006753
272,PA,8C,E5,PA 8-cell-1-2,9.178500068539613
273,PA,8C,E5,PA 8-cell-1-4,8.382597626729195
