gene,n_cpg_1x,n_cpg_5x,n_cpg_10x,frac_5x,frac_10x
ENSSSCG00000001689,22,6,3,0.2727272727272727,0.13636363636363635
ENSSSCG00000001691,6,4,0,0.6666666666666666,0.0
ENSSSCG00000001692,8,1,0,0.125,0.0
ENSSSCG00000001695,57,9,7,0.15789473684210525,0.12280701754385964
ENSSSCG00000001696,9,1,1,0.1111111111111111,0.1111111111111111
ENSSSCG00000001697,9,1,1,0.1111111111111111,0.1111111111111111
ENSSSCG00000001698,13,8,4,0.6153846153846154,0.3076923076923077
ENSSSCG00000001700,20,2,2,0.1,0.1
ENSSSCG00000001701,45,19,13,0.4222222222222222,0.28888888888888886
ENSSSCG00000001702,36,26,23,0.7222222222222222,0.6388888888888888
ENSSSCG00000001703,5,0,0,0.0,0.0
ENSSSCG00000001705,6,5,2,0.8333333333333334,0.3333333333333333
ENSSSCG00000001706,6,1,0,0.16666666666666666,0.0
ENSSSCG00000001708,8,4,2,0.5,0.25
ENSSSCG00000001709,12,2,2,0.16666666666666666,0.16666666666666666
ENSSSCG00000001715,5,3,0,0.6,0.0
ENSSSCG00000001716,12,1,1,0.08333333333333333,0.08333333333333333
ENSSSCG00000001718,32,10,4,0.3125,0.125
ENSSSCG00000001720,32,10,4,0.3125,0.125
ENSSSCG00000001723,20,6,5,0.3,0.25
ENSSSCG00000001724,2,2,0,1.0,0.0
ENSSSCG00000001725,4,2,2,0.5,0.5
ENSSSCG00000001726,9,0,0,0.0,0.0
ENSSSCG00000001727,15,5,3,0.3333333333333333,0.2
ENSSSCG00000001729,18,2,2,0.1111111111111111,0.1111111111111111
ENSSSCG00000001731,17,3,0,0.17647058823529413,0.0
ENSSSCG00000001732,18,4,0,0.2222222222222222,0.0
ENSSSCG00000001734,15,4,1,0.26666666666666666,0.06666666666666667
ENSSSCG00000001735,1,0,0,0.0,0.0
ENSSSCG00000001736,7,1,0,0.14285714285714285,0.0
ENSSSCG00000001738,1,0,0,0.0,0.0
ENSSSCG00000001741,10,0,0,0.0,0.0
ENSSSCG00000001744,27,11,1,0.4074074074074074,0.037037037037037035
