gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,gene_symbol,sig
ENSSSCG00000003654,264.96736012181447,-4.917490173967401,0.8063068364306398,-6.098782686422644,1.0687925273806082e-09,8.967580378772296e-08,ENSSSCG00000003654,ENSSSCG00000003654,True
ENSSSCG00000003489,9928.745583077023,4.312493140276603,0.7071050486237146,6.098801229987388,1.068668566551067e-09,8.967580378772296e-08,ENSSSCG00000003489,EMC1,True
ENSSSCG00000009768,634.8610927749718,-4.921901618833235,0.8075439389135886,-6.094902557815996,1.0950413331771853e-09,9.100314926956303e-08,ENSSSCG00000009768,TCTN2,True
ENSSSCG00000008031,203.507737849479,-8.330197141011844,1.369646001837963,-6.0820074163932425,1.1868707708721048e-09,9.770409760971685e-08,ENSSSCG00000008031,GNPTG,True
ENSSSCG00000008983,124.50219491092061,-8.874069800057546,1.4690463459741845,-6.040701046890925,1.534460543039111e-09,1.251374083977503e-07,ENSSSCG00000008983,CCDC158,True
ENSSSCG00000039778,1910.523981578057,-8.22503803191536,1.3667746052992666,-6.017845224827265,1.7675407040987094e-09,1.428107424441235e-07,ENSSSCG00000039778,ENSSSCG00000039778,True
ENSSSCG00000063423,135.01093382224622,-11.104436334074746,1.8472902669731908,-6.011202750648121,1.841519185665079e-09,1.4742290288177503e-07,ENSSSCG00000063423,H2BC1,True
ENSSSCG00000031429,110586.49956009875,2.8596665854912127,0.4763948611332374,6.002723410342215,1.9403500069705793e-09,1.5392267418932068e-07,ENSSSCG00000031429,YAP1,True
ENSSSCG00000021145,272.70383766270226,-9.642875786724348,1.607807602469203,-5.997530906008422,2.003402459488605e-09,1.5749270145493303e-07,ENSSSCG00000021145,AP1S1,True
ENSSSCG00000032749,2038.6323828232378,-14.74815412689672,2.4609252886002144,-5.992930462056221,2.060929932817821e-09,1.6056852315864562e-07,ENSSSCG00000032749,PCDH18,True
ENSSSCG00000015965,336.0656971657174,-16.55556899832099,2.764514300262529,-5.988599515201932,2.1165561915070252e-09,1.6344309139017964e-07,ENSSSCG00000015965,GPR155,True
ENSSSCG00000011101,1646.1555498045525,-8.090874283457005,1.3550409389345617,-5.9709445308853,2.3588393859037363e-09,1.8055467088943863e-07,ENSSSCG00000011101,ITGB1,True
ENSSSCG00000009426,1928.2181787072634,4.687966275745018,0.7859418943118351,5.964774634961745,2.4497191498580048e-09,1.8588042871009523e-07,ENSSSCG00000009426,CCDC122,True
ENSSSCG00000038882,1901.321457756143,16.052178372583654,2.7042607441624495,5.935884107046511,2.922662065905041e-09,2.1985473437144297e-07,ENSSSCG00000038882,C16orf91,True
ENSSSCG00000001438,62.4140194791007,-8.127208099076721,1.374052114508465,-5.914774274761799,3.323310224534115e-09,2.478564531562794e-07,ENSSSCG00000001438,PBX2,True
ENSSSCG00000011912,1190.3646179030475,-6.85719459954107,1.1624142971420728,-5.899096919575283,3.6549650640571895e-09,2.702815690590088e-07,ENSSSCG00000011912,QTRT2,True
ENSSSCG00000042421,3965.3826400868606,20.652957895203546,3.507477829293633,5.8882647019789776,3.902716870981326e-09,2.8617737324523577e-07,ENSSSCG00000042421,ENSSSCG00000042421,True
ENSSSCG00000011546,40.971177616429124,-8.038588430436077,1.367245659967459,-5.87940314297827,4.117484441994809e-09,2.9940974367372257e-07,ENSSSCG00000011546,MTMR14,True
ENSSSCG00000057775,136.89179490759145,6.957879782656023,1.1858290336670507,5.867523551130737,4.423521916420286e-09,3.190053904354001e-07,ENSSSCG00000057775,ENSSSCG00000057775,True
ENSSSCG00000022230,1806.856284249848,-10.025576232878809,1.710411516057207,-5.861499492233008,4.587058799355733e-09,3.280875006817879e-07,ENSSSCG00000022230,CD9,True
ENSSSCG00000017082,180.6298473500749,-8.376939909248955,1.4295106423807518,-5.860005277958432,4.628524592542068e-09,3.283618341018055e-07,ENSSSCG00000017082,SPARC,True
ENSSSCG00000011741,199.5126239890056,-5.275336123965789,0.9015657844991088,-5.851304713051699,4.877317218432064e-09,3.4106305708264107e-07,ENSSSCG00000011741,GOLIM4,True
ENSSSCG00000040728,18034.34589116799,2.976138592267546,0.5086531160257649,5.851018107430202,4.885730247000932e-09,3.4106305708264107e-07,ENSSSCG00000040728,EYA1,True
ENSSSCG00000015820,3202.2728657275356,3.7867327534277266,0.6486355400279998,5.837997642349761,5.2831904867533e-09,3.630009463575535e-07,ENSSSCG00000015820,NSD3,True
ENSSSCG00000006824,136622.47373343486,2.461607140710898,0.42157280032889705,5.839103326377874,5.248251459494381e-09,3.630009463575535e-07,ENSSSCG00000006824,GNAI3,True
ENSSSCG00000017546,1680.7878768696933,6.31944386163596,1.08304688465365,5.834875619126008,5.383070829891611e-09,3.6697403173151716e-07,ENSSSCG00000017546,ZNF652,True
ENSSSCG00000021363,27.790094750211377,-6.416823023660875,1.1001271980612062,-5.832801002438148,5.450455806769029e-09,3.686874214718337e-07,ENSSSCG00000021363,CHD3,True
ENSSSCG00000030443,3478.013489141415,-4.938867896616234,0.847891365810255,-5.8248828750562796,5.715266760439256e-09,3.836262903968688e-07,ENSSSCG00000030443,INTS13,True
ENSSSCG00000001033,107.67501274711516,6.5844261099079,1.137447992557385,5.7887711376621125,7.0903225260275105e-09,4.722912546726416e-07,ENSSSCG00000001033,SLC35B3,True
ENSSSCG00000008629,20017.482196777535,3.5787492754832813,0.6184905714511791,5.78626326847049,7.1969390785943205e-09,4.7576129090768213e-07,ENSSSCG00000008629,ROCK2,True
ENSSSCG00000027652,199794.0629224277,3.156414623622298,0.5470244981264937,5.770152222492254,7.919995663517382e-09,5.196231741342307e-07,ENSSSCG00000027652,KLHL15,True
