gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,gene_symbol,coefficient
ENSSSCG00000000175,7.543180567629463,0.8270847088735347,5.658452693880534,0.14616799920727533,,,ENSSSCG00000000175,ADCY6,condition[T.PA]
ENSSSCG00000000176,1850.1801150614726,-2.041760641795548,2.293850458626447,-0.8901018957522409,0.373411175141637,0.9999642144719292,ENSSSCG00000000176,DDX23,condition[T.PA]
ENSSSCG00000000179,5.963254886287759,2.5405169865196577,7.036773836751891,0.36103433838543497,,,ENSSSCG00000000179,CCDC65,condition[T.PA]
ENSSSCG00000000185,4.244305643440525,-9.255222066173845,5.293075265551847,-1.7485528925704614,,,ENSSSCG00000000185,PRKAG1,condition[T.PA]
ENSSSCG00000000186,1907.1144528761035,2.965435825509747,1.962822616285809,1.5108017407712335,0.13083897107672016,0.9999642144719292,ENSSSCG00000000186,RHEBL1,condition[T.PA]
ENSSSCG00000000190,3597.211592069809,0.3251841166491684,1.6738653021435865,0.1942713766948457,0.8459633967358102,0.9999642144719292,ENSSSCG00000000190,TUBA1B,condition[T.PA]
ENSSSCG00000000194,29614.244133726665,0.9654194997186085,1.6102406836476495,0.5995498123495805,0.5488063032162973,0.9999642144719292,ENSSSCG00000000194,ENSSSCG00000000194,condition[T.PA]
ENSSSCG00000000199,832.1473462328005,1.5506796525656732,1.6683157091369607,0.9294881322959299,0.3526361727520084,0.9999642144719292,ENSSSCG00000000199,SPATS2,condition[T.PA]
ENSSSCG00000000202,21.701272245318652,2.0130768456626953,3.2312989500101366,0.6229930677433546,0.5332890773236811,0.9999642144719292,ENSSSCG00000000202,MCRS1,condition[T.PA]
ENSSSCG00000000203,15.63448027435757,-16.88519064530167,47.721077934106354,-0.3538308725678174,0.7234656353149125,0.9999642144719292,ENSSSCG00000000203,KCNH3,condition[T.PA]
ENSSSCG00000000204,7.422208333936472,-9.718646379510258,4.983239794653857,-1.9502666498081551,,,ENSSSCG00000000204,PRPF40B,condition[T.PA]
ENSSSCG00000000205,53.15477850750282,2.3659661517870894,2.8671457487607444,0.825199121045633,,,ENSSSCG00000000205,FAM186B,condition[T.PA]
ENSSSCG00000000209,11.838944733535586,-4.0854654716850645,4.302346856966585,-0.9495899813539362,,,ENSSSCG00000000209,NCKAP5L,condition[T.PA]
ENSSSCG00000000214,4.467058200783455,2.2827090069671745,3.4050774952760845,0.6703838635490709,,,ENSSSCG00000000214,GPD1,condition[T.PA]
ENSSSCG00000000215,3911.3225321890986,0.2172476045154572,2.2072976450221096,0.09842243297155384,0.9215968622233808,0.9999642144719292,ENSSSCG00000000215,SMARCD1,condition[T.PA]
